Signature,Block Time,Human Time,Action,From,Token1,Amount1,TokenDecimals1,Token2,Amount2,TokenDecimals2,Value,Programs,Token1Multiplier,Token2Multiplier
3eAAjy4bNQqWSRGQVS83UsTTDdMASzUiGp2EvCgwfNLP7WuYjqjEaqBPgSMeRbwVzUesUcYfMhfqmnBbA73qEhmm,1782761962,2026-06-29T19:39:22.000Z,ACTIVITY_TOKEN_REMOVE_LIQ,3PEG6N7ZLkg7GJyeYsshC16N2f4L14Q5VtU5AGSzwnqF,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,72484153470,9,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2433899,6,4.9803,whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc||,1.0,1.0
eNxWz5HdnJq2BzSe9TmXEc93mcVeeseG1xNnsjKXqTQU18fq2R93kuMbqnYvxnBe198DgkKsMGKW4LSwVNfvwfL,1782761945,2026-06-29T19:39:05.000Z,ACTIVITY_TOKEN_REMOVE_LIQ,3PEG6N7ZLkg7GJyeYsshC16N2f4L14Q5VtU5AGSzwnqF,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,14764942276,9,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,388560,6,0.9076,whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc||,1.0,1.0
2g9jky4zcWDjh8ByMyj9r18yh4hp2EBLUZiNabwgi5Ur6LkWkfpabrCwSGBdUHqDDVNfi3ocDmrGA3z2E4RyHz8k,1782761792,2026-06-29T19:36:32.000Z,ACTIVITY_TOKEN_SWAP,2Lp8cgM4HKZavkPAUv2AzzCgmJHGvq3ozHMGwKQPt2hH,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,999000,6,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,28436338450,9,0.999,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH||whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc,1.0,1.0
4wZE7fqL45qV2MhKZa1QxzuMHLa778kvLUMNRJYidQrK9Xar9pcFsm8cfFFim27bDCwwpsyNfQQm1TfwSu7bJuji,1782761586,2026-06-29T19:33:06.000Z,ACTIVITY_TOKEN_SWAP,5gLsHi3i9qM1JudZGHtbQhGRpMNnPKnWtVvTFsieCCce,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,31476274955,9,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1032273,6,1.0323,routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS||CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,1.0,1.0
3xKwJ6ejgoGncP9skgotPE4wchBkK1Yha3oaYkMEpNUSG2FcZLDYaRYJckUTuYhhw83tPrWocLsFAFytGTVLSNGT,1782761562,2026-06-29T19:32:42.000Z,ACTIVITY_TOKEN_SWAP,5gLsHi3i9qM1JudZGHtbQhGRpMNnPKnWtVvTFsieCCce,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1120000,6,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,31476274955,9,1.12,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK||,1.0,1.0
2aZFbz1S1FtKTREYbMpLfmyerj9zMgoeZHZLS9tw7nLqQdziasLuGuy9uoB52ZHSE6dYBAy7PaVP5wh2LNGTthav,1782761355,2026-06-29T19:29:15.000Z,ACTIVITY_TOKEN_SWAP,5gLsHi3i9qM1JudZGHtbQhGRpMNnPKnWtVvTFsieCCce,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,81903552447,9,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2691251,6,2.6913,routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS||CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,1.0,1.0
3qYsqxChDRGfqi1pXTAukEKMdi6AZkkxneganJ8GfZAHamBfHp7tHaHeb1zE2HmxBFczQRrihd7seBYPvFuJjtMv,1782761309,2026-06-29T19:28:29.000Z,ACTIVITY_TOKEN_SWAP,HuKJ5mc6WnBR5rm3JUqGkNjQtdAHHAwapNKX2me26RrB,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1000000,6,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,28302481427,9,1,T1TANpTeScyeqVzzgNViGDNrkQ6qHz9KrSBS4aNXvGT||whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc,1.0,1.0
4cGAbp3tajFi46TByf5yn9H6cuk5yrHqoys5XUScNH9g4jyaCoxxHDMy9gQ1s1qmpfNGXfbYHkB8f53StWWe81SM,1782761185,2026-06-29T19:26:25.000Z,ACTIVITY_TOKEN_SWAP,3yiVc614Hj2LJvGdb2zdqV8SUbdwUFFXQWSW5tQ9vJSx,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,37864,6,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,1079403632,9,0.03786,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH||whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc,1.0,1.0
Fo9feD4dGgYxF5Knc1a5QHQhnFqgHmCBuwPuihxF2ZqV8tqKD523kQPw1u1nK7yQR9js7XhoC1eePvL9qe7mLzQ,1782761113,2026-06-29T19:25:13.000Z,ACTIVITY_TOKEN_WITHDRAW_VAULT,5gLsHi3i9qM1JudZGHtbQhGRpMNnPKnWtVvTFsieCCce,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,81903552447,9,,0,0,2.8708,wMNFSTkir3HgyZTsB7uqu3i7FA73grFCptPXgrZjksL||MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,1.0,1.0
2mSai5nBUJuCiCKFTrnobyFm8K1GdodcR9V8cHhtE9r97QvAgTWKL5ie2iLsM8a3mMFgLWgnGAJabCyS8ohpxQYy,1782760994,2026-06-29T19:23:14.000Z,ACTIVITY_TOKEN_SWAP,9XKUcxFDCESsedjEKUpjtuy1k3XZ9FexQq5bBRF6s3G9,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,999000,6,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,28501778003,9,0.999,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH||whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc,1.0,1.0
